Price,Close,High,Low,Open,Volume,Daily Return,MA20,MA50,Volatility
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,
Date,,,,,,,,,
2020-01-02,72.40052032470703,72.46078378305016,71.15668166173941,71.40978524422886,135480400,,,,
2020-01-03,71.6966323852539,72.45595040957373,71.47245410922795,71.6291376132339,146322800,-0.009722139237346328,,,
2020-01-06,72.26791381835938,72.30648330246464,70.56848776436438,70.81918573286022,118387200,0.007968037188075261,,,
2020-01-07,71.92803192138672,72.53307183094348,71.70867212634163,72.27755544471,108872000,-0.00470308161692512,,,
2020-01-08,73.0851058959961,73.38642316119072,71.63155170295238,71.63155170295238,132079200,0.016086551288849282,,,
2020-01-09,74.63749694824219,74.83033706552648,73.81068409472688,74.06137477592067,170108400,0.021240867523065976,,,
2020-01-10,74.80622863769531,75.37030104945943,74.30483992947904,74.87131787710281,140644800,0.002260682583850926,,,
2020-01-13,76.40442657470703,76.43094632364196,75.0039042885127,75.1220256778742,121532000,0.02136450354625108,,,
2020-01-14,75.37271881103516,76.55147571173875,75.24978634537415,76.3417600315841,161954400,-0.013503245949540443,,,
2020-01-15,75.04969024658203,76.05247495120804,74.61820187883205,75.17263004032235,121923600,-0.004285749135081396,,,
2020-01-16,75.98981475830078,76.1007048279931,75.23049658770428,75.5920773695483,108829200,0.012526694096003599,,,
2020-01-17,76.8310775756836,76.83348311126043,75.9319442855303,76.2380799522902,137816400,0.011070731256005883,,,
2020-01-21,76.31041717529297,76.90099467937888,76.17301471865545,76.459869381581,110843200,-0.006776690068907909,,,
2020-01-22,76.58281707763672,77.1348251407198,76.48880253772091,76.79493830286927,101832400,0.0035696293170304205,,,
2020-01-23,76.95162200927734,77.03116654175618,76.0886451198764,76.6358420591075,104472000,0.004815766064948379,,,
2020-01-24,76.72985076904297,77.93993845348767,76.53941616685312,77.19749582877215,146537600,-0.002881956668926877,,,
2020-01-27,74.47357177734375,75.15333787807808,73.4924810810553,74.74113795467083,161940000,-0.02940549172304041,,,
2020-01-28,76.58037567138672,76.75152179476333,75.25457988632637,75.35341281852345,162234000,0.028289282275083538,,,
2020-01-29,78.18340301513672,79.02950436307852,77.46988569545148,78.20992276333985,216229200,0.02093261269216984,,,
2020-01-30,78.07011413574219,78.12314628033491,76.83591952309017,77.26740800153176,126743200,-0.0014490144330581156,75.21759147644043,,
2020-01-31,74.60857391357422,77.78324876217432,74.31448794421121,77.361404556077,199588400,-0.044338864628138186,75.32799415588379,,0.017679173537172466
2020-02-03,74.4036636352539,75.5679502030693,72.85127664058147,73.35266528651083,173788400,-0.0027464709157647427,75.46334571838379,,0.01751095826414648
2020-02-04,76.86000061035156,77.05043515977154,75.60169956180454,76.00666815397705,136616400,0.033013656251381196,75.6929500579834,,0.018807637923938487
2020-02-05,77.48677062988281,78.28465836318001,76.88413594573808,77.98574655750554,118826800,0.00815469704077576,75.9708869934082,,0.01874096648617416
2020-02-06,78.39311981201172,78.39553270453209,77.19990767879175,77.75674147890366,105425600,0.011696824822628127,76.23628768920898,,0.018615981390137162
2020-02-07,77.32752227783203,78.14180023144418,76.83702208588501,77.89292589511314,117684000,-0.01359299817043913,76.37078895568848,,0.018515517627002008
2020-02-10,77.69479370117188,77.69479370117188,75.8342789707218,75.91401226143752,109348800,0.004749556335456706,76.51521720886231,,0.01852617744989101
2020-02-11,77.2260513305664,78.26262851927434,77.00858949259958,78.19014369789785,94323200,-0.006033124592727979,76.55629844665528,,0.018029914596502064
2020-02-12,79.05999755859375,79.06482742202022,77.67547849475221,77.67547849475221,113730400,0.023747766413397597,76.7406623840332,,0.018406645371886673
2020-02-13,78.49700164794922,78.82319807398167,78.12973294999506,78.33269781258844,94747600,-0.007121122287251258,76.91302795410157,,0.018472888494045894
2020-02-14,78.5163345336914,78.76520890109116,78.00891869878639,78.46558778851511,80113600,0.00024628820638139537,77.03935394287109,,0.018322440497492227
2020-02-18,77.07865905761719,77.25987847546425,76.01791785904396,76.19913727689102,152531200,-0.018310527161164325,77.05173301696777,,0.018713456310520186
2020-02-19,78.19497680664062,78.4245243735885,77.32029218115534,77.32029218115534,93984000,0.014482838215815086,77.14596099853516,,0.018891602599417728
2020-02-20,77.39276885986328,78.44384294584167,76.88777163956716,77.95576130740083,100566000,-0.01025907263533088,77.18645858764648,,0.01905998224525118
2020-02-21,75.64099884033203,77.42903672549149,75.02485563249914,76.98685711850104,129554000,-0.02263480226044401,77.12092742919921,,0.019724746202134366
2020-02-24,72.04801940917969,73.49777501677713,69.8854717188165,71.82572767869755,222195200,-0.047500422869040104,76.88683586120605,,0.022337877498106878
2020-02-25,69.60758972167969,73.09908711151304,69.13642361597664,72.71732141374063,230673600,-0.03387226612906813,76.64353675842285,,0.022637116947860473
2020-02-26,70.71183013916016,71.97553646481957,69.22583207719232,69.23308056046676,198054800,0.015863793329085052,76.35010948181153,,0.021887611966954743
2020-02-27,66.08952331542969,69.10501764925158,65.95421338126829,67.92105203842019,320605600,-0.06536822501459538,75.74541549682617,,0.025044927439875648
2020-02-28,66.05084228515625,67.27105731603613,61.94562123770189,62.160671794936235,426510000,-0.0005852823311922606,75.14445190429687,,0.025057675120211655
2020-03-02,72.20024871826172,72.83572613943491,67.10435837488609,68.20617210459764,341397200,0.09310110545687067,75.02403564453125,,0.03235647821690531
2020-03-03,69.9072036743164,73.45426993984877,69.05667582944147,73.3745366413102,319475600,-0.03175951724062864,74.79921264648438,,0.03307431139344089
2020-03-04,73.14982604980469,73.30930003617219,70.82780458094045,71.62758575768213,219178400,0.04638466717385814,74.61370391845703,,0.03395545975220824
2020-03-05,70.77705383300781,72.37902717401828,70.41219640582361,71.40527520257908,187572800,-0.03243715460350316,74.27821807861328,,0.0345292037061898
2020-03-06,69.83715057373047,70.2696631046371,67.95247104471461,68.13852037839982,226176800,-0.013279773717269516,73.85041961669921,,0.0343844966392343
2020-03-09,64.31356048583984,67.19373670107173,63.54760324031838,63.72882264119381,286744800,-0.07909243207251282,73.19972152709961,,0.038139322984725096
2020-03-10,68.94551849365234,69.21130840087326,65.08675341116529,66.96419096693461,285290000,0.07202148307171297,72.76225776672364,,0.04212591773901853
2020-03-11,66.55101776123047,67.95003374263217,65.68841155580724,67.0246098194062,255598800,-0.03473033178570306,72.22850608825684,,0.042644189360857156
2020-03-12,59.978790283203125,65.23898664623883,59.92321736395271,61.84172741301199,418474000,-0.0987547253087393,71.27444572448731,,0.046670267162155214
2020-03-13,67.16475677490234,67.6359302649127,61.119275269390535,64.00429300943405,370732000,0.11980845992006661,70.70783348083496,73.8013198852539,0.055298694858629906
2020-03-16,58.52421569824219,62.60044010140755,57.99022079286357,58.4613905994218,322423600,-0.12864694955448563,69.7082275390625,73.5237937927246,0.061638805438689326
2020-03-17,61.0975341796875,62.24525368604919,57.60362153116066,59.804833950382424,324056000,0.04397014895019957,68.90917129516602,73.31181182861329,0.06290484070592448
2020-03-18,59.601863861083984,60.406478598445545,57.29433564123959,57.93464652653443,300233600,-0.024480043895139136,67.97951564788818,73.05849082946777,0.0627207125160923
2020-03-19,59.14518737792969,61.09269153777121,58.62085961850456,59.77583112302971,271857200,-0.007662117483753339,67.0671365737915,72.80283393859864,0.06272634999406279
2020-03-20,55.39031982421875,60.84864774255849,55.09070239617697,59.72508515259065,401693200,-0.06348559739472703,66.05460262298584,72.44893821716309,0.06376510994889996
2020-03-23,54.213592529296875,55.21150850172385,51.37207376914633,55.11002608388826,336752800,-0.021244276954099917,65.1628812789917,72.04046012878418,0.06329737581297781
2020-03-24,59.65260314941406,59.8483195377774,56.612948896316425,57.11069765855371,287531200,0.10032558932850577,64.66513195037842,71.73738761901855,0.067830984935698
2020-03-25,59.32398986816406,62.39988643227555,59.02920598580545,60.587692247407915,303602000,-0.0055087835886542535,64.09573993682861,71.39577888488769,0.06764475609037927
2020-03-26,62.44580078125,62.503788640032134,59.526959345508246,59.565620375975534,252087200,0.05262307744343486,63.91355381011963,71.137240524292,0.06739171415414098
2020-03-27,59.86040496826172,61.82482113234886,59.69368249851185,61.07094946417779,204216800,-0.041402236509785806,63.6040319442749,70.83345481872558,0.068004215756659
2020-03-30,61.568702697753906,61.74025873047765,60.26150553022684,60.585287078823825,167976400,0.02853802493314128,63.072454643249515,70.54503257751465,0.06466709340505422
2020-03-31,61.443058013916016,63.42438996368667,60.88973623938196,61.75959108899796,197002000,-0.002040723262510369,62.649247360229495,70.2372721862793,0.06438341568460688
2020-04-01,58.21010208129883,60.09719995282628,57.78000823267317,59.56079010801558,176218400,-0.05261710658810259,61.9022611618042,69.87526588439941,0.06407404092919412
2020-04-02,59.181434631347656,59.23459262853542,57.241178794751,58.07237254686632,165934000,0.016686666322835553,61.32248020172119,69.52723823547363,0.06408620298923746
2020-04-03,58.330909729003906,59.36748322353769,57.7413419398106,58.66676958439928,129880000,-0.014371481658763896,60.747168159484865,69.15482398986816,0.06409234403600372
2020-04-06,63.419559478759766,63.57419624282321,60.256676873255664,60.62394564001491,201820400,0.08723762021536974,60.70246810913086,68.8886181640625,0.06503032592394241
2020-04-07,62.68501281738281,65.64976767726971,62.58111543792132,65.43229844270063,202887200,-0.011582336228982526,60.38944282531738,68.65284698486329,0.06289803723679266
2020-04-08,64.28941345214844,64.60352421399418,63.1199448269442,63.484794969799864,168895200,0.025594644758861973,60.276362609863284,68.40702774047851,0.06273583693880058
2020-04-09,64.75333404541016,65.25592013573771,63.95839000283478,64.92489377394622,161834800,0.007216127327200228,60.51508979797363,68.13842636108399,0.05825820140885241
